,time,pitch,word
0,0.0,,
1,0.01,,
2,0.02,,
3,0.03,,
4,0.04,,
5,0.05,,
6,0.06,,
7,0.07,,
8,0.08,,
9,0.09,,
10,0.1,,
11,0.11,,
12,0.12,,
13,0.13,,
14,0.14,,
15,0.15,,
16,0.16,,
17,0.17,,
18,0.18,,
19,0.19,,
20,0.2,,
21,0.21,,
22,0.22,,
23,0.23,,
24,0.24,,
25,0.25,,
26,0.26,,
27,0.27,,
28,0.28,,
29,0.29,,Come
30,0.3,,
31,0.31,,
32,0.32,,
33,0.33,,
34,0.34,,
35,0.35000000000000003,,
36,0.36,,
37,0.37,,
38,0.38,,
39,0.39,-103.00,
40,0.4,-115.00,
41,0.41000000000000003,-138.00,
42,0.42,-144.00,
43,0.43,-152.00,
44,0.44,-159.00,
45,0.45,-166.00,
46,0.46,-163.00,
47,0.47000000000000003,-142.00,
48,0.48,-123.00,
49,0.49,-110.00,
50,0.5,-102.00,
51,0.51,-98.00,
52,0.52,-94.00,
53,0.53,-88.00,
54,0.54,-79.00,
55,0.55,-65.00,
56,0.56,-54.00,
57,0.5700000000000001,-41.00,
58,0.58,-32.00,
59,0.59,-22.00,
60,0.6,-16.00,
61,0.61,-14.00,
62,0.62,-12.00,
63,0.63,-10.00,
64,0.64,-8.00,
65,0.65,-6.00,
66,0.66,-2.00,
67,0.67,1.00,
68,0.68,7.00,
69,0.6900000000000001,14.00,
70,0.7000000000000001,21.00,
71,0.71,30.00,
72,0.72,35.00,
73,0.73,40.00,
74,0.74,45.00,
75,0.75,70.00,
76,0.76,99.00,
77,0.77,126.00,
78,0.78,148.00,
79,0.79,170.00,
80,0.8,193.00,
81,0.81,213.00,
82,0.8200000000000001,227.00,up
83,0.8300000000000001,245.00,
84,0.84,253.00,
85,0.85,256.00,
86,0.86,258.00,
87,0.87,261.00,
88,0.88,266.00,
89,0.89,273.00,
90,0.9,276.00,
91,0.91,275.00,
92,0.92,270.00,
93,0.93,266.00,
94,0.9400000000000001,266.00,
95,0.9500000000000001,264.00,
96,0.96,260.00,
97,0.97,249.00,
98,0.98,236.00,
99,0.99,219.00,
100,1.0,192.00,
101,1.01,,
102,1.02,,
103,1.03,,
104,1.04,,
105,1.05,,
106,1.06,,
107,1.07,,
108,1.08,,
109,1.09,,
110,1.1,,
111,1.11,,
112,1.12,,to
113,1.1300000000000001,,
114,1.1400000000000001,,
115,1.1500000000000001,,
116,1.16,,
117,1.17,,
118,1.18,,
119,1.19,,
120,1.2,,
121,1.21,,
122,1.22,,
123,1.23,,
124,1.24,,
125,1.25,33.00,
126,1.26,3.00,
127,1.27,-13.00,
128,1.28,-17.00,
129,1.29,-20.00,
130,1.3,-16.00,
131,1.31,-14.00,
132,1.32,-9.00,
133,1.33,-0.00,
134,1.34,8.00,
135,1.35,14.00,
136,1.36,23.00,
137,1.37,30.00,
138,1.3800000000000001,31.00,
139,1.3900000000000001,37.00,
140,1.4000000000000001,42.00,
141,1.41,47.00,
142,1.42,51.00,
143,1.43,52.00,
144,1.44,51.00,
145,1.45,50.00,
146,1.46,45.00,
147,1.47,44.00,
148,1.48,42.00,
149,1.49,36.00,
150,1.5,31.00,
151,1.51,32.00,
152,1.52,34.00,
153,1.53,43.00,
154,1.54,61.00,
155,1.55,83.00,
156,1.56,102.00,
157,1.57,127.00,
158,1.58,170.00,
159,1.59,216.00,
160,1.6,281.00,
161,1.61,337.00,meet
162,1.62,426.00,
163,1.6300000000000001,508.00,
164,1.6400000000000001,556.00,
165,1.6500000000000001,604.00,
166,1.6600000000000001,646.00,
167,1.67,668.00,
168,1.68,684.00,
169,1.69,699.00,
170,1.7,710.00,
171,1.71,716.00,
172,1.72,719.00,
173,1.73,717.00,
174,1.74,713.00,
175,1.75,713.00,
176,1.76,716.00,
177,1.77,722.00,
178,1.78,732.00,
179,1.79,736.00,
180,1.8,740.00,
181,1.81,743.00,
182,1.82,745.00,
183,1.83,748.00,
184,1.84,752.00,
185,1.85,751.00,
186,1.86,746.00,
187,1.87,741.00,
188,1.8800000000000001,742.00,
189,1.8900000000000001,742.00,
190,1.9000000000000001,742.00,
191,1.9100000000000001,742.00,
192,1.92,738.00,
193,1.93,732.00,
194,1.94,728.00,
195,1.95,720.00,
196,1.96,715.00,
197,1.97,715.00,
198,1.98,718.00,
199,1.99,724.00,
200,2.0,728.00,
201,2.0100000000000002,730.00,
202,2.02,735.00,
203,2.0300000000000002,736.00,
204,2.04,738.00,
205,2.05,742.00,
206,2.06,745.00,
207,2.07,745.00,
208,2.08,745.00,
209,2.09,745.00,
210,2.1,743.00,
211,2.11,747.00,
212,2.12,752.00,
213,2.13,753.00,
214,2.14,755.00,
215,2.15,756.00,
216,2.16,750.00,
217,2.17,744.00,
218,2.18,738.00,
219,2.19,730.00,
220,2.2,724.00,
221,2.21,719.00,
222,2.22,715.00,
223,2.23,714.00,
224,2.24,720.00,
225,2.25,727.00,
226,2.2600000000000002,738.00,
227,2.27,752.00,
228,2.2800000000000002,752.00,
229,2.29,754.00,
230,2.3000000000000003,751.00,
231,2.31,750.00,
232,2.32,757.00,
233,2.33,754.00,
234,2.34,734.00,
235,2.35,,
236,2.36,,
237,2.37,,
238,2.38,,
239,2.39,,
240,2.4,,
241,2.41,,
242,2.42,,
243,2.43,,
244,2.44,,
245,2.45,,
246,2.46,,
247,2.47,,
248,2.48,,
249,2.49,,
250,2.5,,
251,2.5100000000000002,412.00,you
252,2.52,415.00,
253,2.5300000000000002,429.00,
254,2.54,444.00,
255,2.5500000000000003,462.00,
256,2.56,476.00,
257,2.57,486.00,
258,2.58,491.00,
259,2.59,491.00,
260,2.6,488.00,
261,2.61,482.00,
262,2.62,475.00,
263,2.63,472.00,
264,2.64,468.00,
265,2.65,464.00,
266,2.66,460.00,
267,2.67,458.00,
268,2.68,457.00,
269,2.69,457.00,
270,2.7,456.00,
271,2.71,456.00,
272,2.72,461.00,
